
Row          Column       Scattering   Scattering   Direct       Direct
Number       Number       Number       Energy(MeV)  Number       Energy(MeV)
2100         24           361          16.92        2027         111.8        
2100         25           111          4.537        616          30.7         
2200         0            119          5.006        608          32.34        
2200         1            386          17.78        2148         119.3        
2200         2            418          20.18        2069         114          
2200         3            402          19.49        2099         118.7        
2200         4            452          21.68        2132         120.2        
2200         5            185          8.514        1056         60.5         
2200         6            191          9.393        983          55.92        
2200         7            209          10.32        957          53.06        
2200         8            224          10.07        953          51.98        
2200         9            214          10.41        1004         56.87        
2200         10           209          9.687        984          56.11        
2200         11           214          9.495        979          56.92        
2200         12           194          9.419        1009         58.42        
2200         13           204          9.577        980          54.32        
2200         14           206          9.552        1030         56.04        
2200         15           220          10.39        984          54.34        
2200         16           222          10.12        989          58.37        
2200         17           218          10.19        1010         57.27        
2200         18           193          8.484        1017         56.78        
2200         19           206          9.955        1038         57.27        
2200         20           189          8.896        967          54.12        
2200         21           410          18.66        2122         119.5        
2200         22           380          17.77        2137         120.6        
2200         23           375          17.74        2097         118          
2200         24           396          19.62        2098         118.6        
2200         25           96           4.353        590          29.19        
2300         0            122          5.324        589          30.34        
2300         1            381          17.5         2171         121.1        
2300         2            397          18.72        1986         109.7        
2300         3            411          18.88        2010         113.9        
2300         4            404          19.57        2010         113.9        
2300         5            205          9.761        952          51.92        
2300         6            190          8.838        1032         58.48        
2300         7            191          9.081        1004         56.67        
2300         8            212          10.22        977          55.17        
2300         9            200          9.881        986          55.63        
2300         10           207          10.2         994          56.08        
2300         11           195          9.429        986          56.15        
2300         12           207          9.81         1043         59.26        
2300         13           183          8.47         985          55.64        
2300         14           231          10.94        970          54.03        
2300         15           168          8.379        984          55.33        
2300         16           188          9.214        1033         56.82        
2300         17           205          10.37        999          56.97        
2300         18           209          9.554        968          54.45        
2300         19           240          11.25        997          55.71        
2300         20           211          10.14        1043         55.85        
2300         21           424          20.02        2065         115.9        
2300         22           431          20.67        2099         119.2        
2300         23           375          17.92        2068         115.9        
2300         24           368          17.11        2146         119.1        
2300         25           117          4.704        584          29.67        
2400         0            112          4.673        561          28.02        
2400         1            332          15.71        1857         100.5        
2400         2            362          17.14        1810         96.68        
2400         3            338          14.95        1877         104.3        
2400         4            377          17.01        1905         102.1        
2400         5            184          7.245        909          49.15        
2400         6            181          7.988        904          50.8         
2400         7            185          7.982        913          48.33        
2400         8            188          7.888        925          51.02        
2400         9            172          7.821        869          45.33        
2400         10           183          8.212        879          47.19        
2400         11           185          8.275        879          47.65        
2400         12           155          7.682        827          44.11        
2400         13           196          8.905        868          46.83        
2400         14           198          8.89         887          48.18        
2400         15           174          7.992        878          49.26        
2400         16           177          8.079        898          48.46        
2400         17           190          8.926        812          44.37        
2400         18           199          8.626        889          49.52        
2400         19           176          8.054        916          48.71        
2400         20           178          8.248        958          50.92        
2400         21           381          17.65        1814         99.36        
2400         22           343          15.46        1818         97.59        
2400         23           361          16.7         1887         101.9        
2400         24           349          16.07        1875         101.8        
2400         25           97           4.208        528          26.61        
